Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024/06/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757691773.5,835962911.8,860161890,940910879.9,1003985543,1031291175,1138151652,1228366678,1296947590,1373186283,1468869249,1592570300,1736342037,1695374864,1622712099,1634680076,1799338331,1834066248,1879782406,1907071505,1887136840,1903086924,2007119449,2087264685,2041834931,1865759462,2168106302,,
Africa Eastern and Southern,AFE,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81E+11,2.84E+11,2.92E+11,2.94E+11,3.16E+11,3.72E+11,3.74E+11,3.96E+11,4.21E+11,4.48E+11,4.76E+11,5.09E+11,5.23E+11,5.50E+11,6.11E+11,6.82E+11,7.48E+11,8.11E+11,8.59E+11,8.82E+11,9.47E+11,1.03E+12,1.14E+12,1.18E+12,1.27E+12,1.36E+12,1.43E+12,1.47E+12,1.57E+12,1.63E+12,1.59E+12,1.73E+12,1.93E+12,2.11E+12
Afghanistan,AFG,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89745212615,69232716428,,
Africa Western and Central,AFW,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20177300730,21515559594,22075541889,23344144320,25257643378,29354420161,33425610254,36041352908,37475819001,44092334075,54348413761,60708570128,79094439312,89831876863,94866876880,99960074529,1.10E+11,1.04E+11,1.00E+11,98021120871,1.07E+11,1.33E+11
Albania,ALB,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3682264938,6317210154,6503717359,6544077083,7032071603,8251611169,6535827046,6268896523,6572800606,7230744621,7674039240,8445604829,9449233347,10040537015,10916851970,11844250688,13686872409,15576498445,15944253782,17060996798,18321576209,19294754093,19947717458,20779553896,22037693597,22544134749,23397111146,24599813277,26535135172,25737583510,27712422172,33296855018,36181450029
Andorra,AND,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17E+11,6.47E+11,6.71E+11,6.72E+11,7.06E+11,7.48E+11,7.84E+11,8.63E+11,8.84E+11,9.26E+11,9.97E+11,1.05E+12,1.10E+12,1.17E+12,1.28E+12,1.42E+12,1.55E+12,1.79E+12,1.95E+12,2.01E+12,2.07E+12,2.20E+12,2.53E+12,2.60E+12,2.80E+12,2.86E+12,2.91E+12,3.10E+12,3.32E+12,3.48E+12,3.39E+12,3.73E+12,4.06E+12,4.22E+12
United Arab Emirates,ARE,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54E+11,2.79E+11,1.97E+11,1.83E+11,2.06E+11,1.85E+11,1.98E+11,1.99E+11,1.66E+11,1.68E+11,1.89E+11,2.28E+11,2.46E+11,2.02E+11,,,
Argentina,ARG,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43E+11,4.65E+11,4.80E+11,4.65E+11,4.85E+11,4.90E+11,6.42E+11,7.01E+11,6.43E+11,5.96E+11,6.79E+11,,
