Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024/06/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.435112,111.7909698,112.1997604,115.83284,115.8085709,118.78936,119.5195923,120.5616226,120.456398,117.1131134,116.6041336,115.1635513,108.0773315,107.2135086,119.1998978,119.7803497,117.1070023,115.1849976,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,59.63031006,59.77433014,60.53543854,61.70243835,65.1553421,67.49780273,68.98993683,70.83625793,71.92462158,74.72444153,77.70227051,79.32483673,79.6594162,79.58424377,78.885849,76.66558838,76.4804306,74.64269257,73.82321167,75.06816864,72.51515961,73.82099915,72.24102783,72.24427032,72.10102844,73.86141968,73.78450775,77.66291809,77.84372711,76.83834839,78.73937988,81.73696899,84.56513214,88.63018799,91.02198792,94.62032318,97.27435303,100.5860214,104.3992386,104.0487366,103.3735962,103.3436737,103.5401688,103.1059494,102.7218933,101.7207336,102.2486191,103.0417709,104.28936,105.2088089,106.161377,104.8954926,104.8826065,
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,33.42000961,34.33134079,34.75268173,35.21437073,35.76082993,36.71591187,37.60150909,38.38040924,39.67102051,,46.06629181,52.37714005,21.8145504,,27.09651947,27.35779953,29.06418037,,37.84622955,35.48210144,34.57723999,36.11692047,,36.47658157,47.78609848,49.69832993,,,34.29687881,27.29884911,22.16299057,22.90859032,75.95974731,96.55368042,106.2526627,100.2296906,103.9322433,101.0864563,103.4139633,99.36972046,102.9034424,100.2902985,106.2834015,107.6959763,109.1155167,106.1824188,106.1502838,106.1299973,107.7805328,110.0075073,,,,
Africa Western and Central,AFW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,43.18832016,44.80601883,46.83858109,48.41178131,48.60110855,49.14978027,49.76313019,55.68436813,63.88393021,71.06012726,74.26808167,78.35238647,83.22492218,83.36490631,82.38996887,79.74408722,73.33663177,71.58255768,69.7332077,69.00042725,70.3363266,70.53852081,72.45628357,74.92559052,75.56070709,74.3431778,69.76180267,73.59921265,76.59824371,79.54097748,82.69599152,83.16815948,84.88159943,85.64588928,87.61100769,88.5914917,89.37703705,86.68208313,84.29917908,85.96044159,86.59049225,89.90659332,91.40486908,92.4282608,90.86116791,89.90393066,88.54860687,88.69741821,88.60693359,89.48088837,89.94068909,89.84069061,89.95304108,
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,59.06124115,64.03260803,66.0256424,71.73970795,,,,,,153.2166138,135.9693146,127.0382919,114.5610504,99.75843048,78.5105896,84.57817841,84.49256897,82.75563812,82.34767151,77.09954071,70.35929108,67.46276855,,,,,,74.16484833,,,,,,,,,104.2333298,111.1099472,110.2017899,111.872879,126.2451477,,,,119.1422577,107.0270004,122.2350006,88.57499695,,,,,
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,107.7332993,,102.6750488,100.6893387,97.44467926,95.98697662,95.40448761,95.22859192,96.8741684,98.00637054,99.20932007,98.83931732,98.41758728,99.12294769,99.37259674,100.6457138,99.0358963,98.06433105,101.122879,104.1047592,107.0152435,109.209137,109.6497498,109.3973007,109.1253433,108.7552872,107.7091217,107.2691116,106.6347733,111.322403,109.8948975,109.8934097,110.6835709,108.0761108,108.4944611,109.7361221,110.6063004,110.9291077,114.0433197,113.3031387,110.9577332,109.7161636,107.4036789,104.310257,100.6136017,97.60494995,95.60671234,
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,99.0031662,,,,,,,,102.5237503,,,,,,,,,,,,,,,,,,,98.2305069,95.10906982,92.97863007,84.2615509,84.42799377,86.87206268,89.44644165,90.23799896,90.11556244,89.09091187,88.13487244,87.65351868,88.23529053,88.95535278,90.17194366,89.37107086,89.67447662,89.35289764,88.71708679,88.88407898,90.1473465,
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,66.07102966,66.17684174,67.57154083,68.72268677,69.0941925,70.53308868,72.00759888,72.78083038,73.13017273,74.92487335,76.00885773,75.95661163,76.70085144,77.42318726,78.23348236,78.03114319,78.68702698,79.59313965,80.2281189,80.12425995,80.98026276,81.81536102,79.30223846,79.91858673,82.33704376,81.17279053,83.39784241,84.33128357,85.12084198,86.20443726,86.70915222,87.21636963,88.33278656,89.23110199,89.77567291,90.45913696,91.48280334,91.69174957,92.2233963,92.30471039,92.74977112,92.15852356,93.77722931,92.44206238,91.37806702,90.74698639,90.04871368,89.7441864,89.99685669,90.33982849,90.70529938,90.68164825,89.50662231,
United Arab Emirates,ARE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,61.65330887,68.85012817,74.63288879,77.59902954,80.77301025,93.51902771,98.19428253,97.60421753,94.18134308,91.76853943,88.16384125,94.93871307,96.1774826,95.89848328,93.8554306,93.22070313,92.37963104,94.2568512,98.31022644,102.3238983,104.0066528,100.7795334,99.24217224,100.8629379,102.6881409,100.1281662,97.30005646,98.2942276,,,,102.3497009,100.775383,99.46906281,99.65757751,99.70491028,97.98127747,,91.91954041,94.27706146,96.62016296,106.778038,111.8861313,118.9732513,125.6367264,116.8679276,111.8907776,,115.1487885,115.8331604,,,
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,105.7694778,106.7520981,106.2868195,105.7107468,106.1273193,105.4722595,105.1465073,105.9468307,105.3510208,105.6624908,105.6702881,106.2806168,106.7432175,,106.1247482,107.0357437,108.8759766,109.7503891,110.3098373,,107.9235916,109.3128891,,,111.7349319,,112.2408905,109.2838974,113.8952484,116.6007538,117.2811737,117.3070374,117.2992401,114.6765823,115.6678772,114.7447662,116.3161316,117.3506165,118.4370117,118.4015579,118.2347183,117.4637527,116.5163498,114.5092392,113.9618835,113.7781982,112.9442673,111.6814575,111.5456085,111.3653183,110.6178131,110.1561127,,
