Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024/06/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.06814003,28.47348022,27.7578907,26.82393074,27.68670082,27.83859062,33.91851044,34.03218079,36.79524994,37.23633957,36.16004944,37.22045135,37.10728836,37.37345123,16.64318085,17.68074036,17.26896095,18.43367958,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,1.830129981,1.832470059,1.861400008,1.887680054,1.950489998,1.995059967,2.025510073,2.052320004,2.129879951,2.170069933,2.223839998,2.258869886,2.353620052,2.378910065,2.470499992,2.579780102,2.713200092,2.832679987,2.949259996,3.103310108,3.135090113,3.253910065,3.353100061,3.573199987,3.762919903,3.683919907,3.634520054,3.605380058,3.599770069,3.652019978,3.886470079,4.209420204,4.469359875,4.774889946,5.057590008,5.297369957,5.57156992,5.733560085,6.147649765,6.744249821,7.337440014,7.72468996,8.032899857,8.29008007,8.394439697,8.559129715,8.719650269,8.85848999,8.898249626,8.809289932,9.230360031,8.850520134,,
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,0.806509972,0.977230012,1.014490008,1.171839952,1.097650051,1.193840027,1.348080039,1.495440006,1.908800006,2.033169985,,,2.190550089,,,,2.379489899,1.881790042,,,2.465280056,,,,,,,,,,,,,1.381070018,1.389660001,,,,,4.024809837,,3.755609989,,,8.310870171,,,,9.96378994,,10.8584404,,,
Africa Western and Central,AFW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,0.621070027,0.622600019,0.665459991,0.72803998,0.789539993,0.833299994,0.929059982,1.086969972,1.225659966,1.491649985,1.646649957,1.918869972,2.052010059,2.147209883,2.217560053,2.41463995,2.55904007,2.530299902,2.717730045,2.844069958,2.951819897,3.055710077,3.194319963,3.372889996,3.532200098,3.675339937,3.869390011,4.097489834,4.253220081,4.422110081,5.0457201,5.533430099,6.045750141,6.547579765,6.741779804,7.170529842,7.236589909,7.470829964,7.73029995,7.876130104,8.161789894,8.461370468,8.847189903,9.380629539,9.633520126,9.678580284,9.473870277,9.588489532,9.775409698,9.889590263,10.05908966,,,
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.566200018,0.552250028,0.580709994,0.589290023,0.555729985,,,,,,0.588230014,0.531930029,,,0.754029989,2.771820068,2.07171011,2.552469969,2.481750011,,,,,6.332630157,,9.116370201,,8.683790207,9.660340309,9.656000137,9.352999687,11.06099987,,,,
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,11.99890995,12.76107025,,,,,,4.794219971,,,4.322169781,,5.104380131,5.764540195,6.306069851,6.600470066,6.813399792,7.329929829,7.871230125,8.223870277,8.84414959,9.196969986,10.98034954,10.36900043,9.962510109,10.82717037,12.5855999,13.40367031,14.53652,15.23215961,15.49168015,15.93058968,16.38154984,19.82195091,23.53915024,27.70500946,32.11925888,33.41545105,34.2157402,45.00257874,49.66601181,59.5761795,65.31529236,66.82601166,62.98656082,59.27449036,58.65351105,56.60887146,62.07609177,61.39257813,60.31758118,62.73199081,
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.826900005,7.341650009,7.658490181,7.876550198,9.31690979,,11.74213028,,,,13.28104019,14.75994968,13.70014,13.88195992,15.10890961,15.43694019,15.39402962,15,15.09827042,15.20427036,34.48035049,
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,5.728640079,5.728829861,5.992209911,6.350130081,6.75883007,7.319479942,8.012860298,8.776599884,9.252220154,9.215239525,9.524479866,10.04119015,10.37452984,10.49929047,10.71817017,10.6651001,10.96551037,11.01957035,11.07831001,10.7546196,10.76653957,10.44711971,11.05967999,11.8874197,12.39091015,13.13683033,14.0473299,14.94845009,15.73153019,17.00477982,17.25071907,17.8405304,18.72736931,18.82052994,20.02347946,21.06285095,21.46902084,21.91975975,22.5374794,23.22514915,23.97083092,23.65916061,25.02296066,26.67027092,27.9827404,29.36167908,29.90621948,30.88459015,32.16476059,33.01842117,33.39014053,33.45962906,33.51316833,
United Arab Emirates,ARE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.48083115,52.70621872,,,
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,13.37759018,15.44097996,16.62080956,19.75163078,22.88301086,27.07715988,27.01173973,23.96474075,21.25099945,22.12047005,21.71590042,23.19234085,23.95490074,24.98277092,28.79282951,35.51288986,37.50738907,39.40068817,,,,38.27970123,,,37.13759995,,,,47.99156189,49.63843155,54.33327103,58.79169083,62.05926132,64.40245056,64.8878479,63.7323494,67.11859131,66.90944672,68.81629181,71.03746033,74.18753052,77.42961121,78.45590973,78.7686615,81.16941071,83.76258087,86.61788177,89.23294067,90.97283173,95.0775528,99.26622772,107.130661,,
